true_intent,predicted_as,count
Refund_not_showing_up,refund_not_showing_up,39
why_verify_identity,why_is_my_card_blocked,37
fiat_currency_support,exchange_via_app,8
topping_up_by_card,top_up_reverted,8
beneficiary_not_allowed,failed_transfer,8
top_up_by_bank_transfer_charge,transfer_fee_charged,6
extra_charge_on_statement,card_payment_fee_charged,5
pending_top_up,top_up_failed,5
transfer_not_received_by_recipient,pending_transfer,5
transfer_not_received_by_recipient,transfer_timing,5
top_up_reverted,top_up_failed,5
compromised_card,lost_or_stolen_card,5
card_swallowed,lost_or_stolen_card,5
balance_not_updated_after_bank_transfer,transfer_timing,5
card_delivery_estimate,card_arrival,4
card_not_working,declined_card_payment,4
direct_debit_payment_not_recognised,card_payment_not_recognised,4
declined_transfer,declined_card_payment,4
declined_transfer,failed_transfer,4
transfer_timing,balance_not_updated_after_bank_transfer,4
