,precision,recall,f1-score,support
Refund_not_showing_up,1.0,0.95,0.9743589743589743,40.0
activate_my_card,1.0,0.95,0.9743589743589743,40.0
age_limit,0.975609756097561,1.0,0.9876543209876543,40.0
apple_pay_or_google_pay,1.0,1.0,1.0,40.0
atm_support,1.0,0.975,0.9873417721518988,40.0
automatic_top_up,1.0,0.9,0.9473684210526315,40.0
balance_not_updated_after_bank_transfer,0.8235294117647058,0.7,0.7567567567567568,40.0
balance_not_updated_after_cheque_or_cash_deposit,1.0,0.925,0.961038961038961,40.0
beneficiary_not_allowed,0.875,0.875,0.875,40.0
cancel_transfer,0.975,0.975,0.975,40.0
card_about_to_expire,0.975,0.975,0.975,40.0
card_acceptance,0.972972972972973,0.9,0.935064935064935,40.0
card_arrival,0.868421052631579,0.825,0.8461538461538461,40.0
card_delivery_estimate,0.8604651162790697,0.925,0.891566265060241,40.0
card_linking,0.9512195121951219,0.975,0.9629629629629629,40.0
card_not_working,0.8478260869565217,0.975,0.9069767441860465,40.0
card_payment_fee_charged,0.8780487804878049,0.9,0.8888888888888888,40.0
card_payment_not_recognised,0.85,0.85,0.85,40.0
card_payment_not_working,0.0,0.0,0.0,0.0
card_payment_wrong_exchange_rate,0.9069767441860465,0.975,0.9397590361445783,40.0
card_swallowed,0.9736842105263158,0.925,0.9487179487179487,40.0
cash_withdrawal_charge,0.9736842105263158,0.925,0.9487179487179487,40.0
cash_withdrawal_not_recognised,0.9285714285714286,0.975,0.9512195121951219,40.0
change_pin,0.9285714285714286,0.975,0.9512195121951219,40.0
compromised_card,0.8974358974358975,0.875,0.8860759493670886,40.0
contactless_not_working,1.0,0.875,0.9333333333333333,40.0
country_support,0.9090909090909091,1.0,0.9523809523809523,40.0
declined_card_payment,0.8666666666666667,0.975,0.9176470588235294,40.0
declined_cash_withdrawal,0.8333333333333334,1.0,0.9090909090909091,40.0
declined_cheque,0.0,0.0,0.0,0.0
declined_transfer,0.8717948717948718,0.85,0.8607594936708861,40.0
direct_debit_payment_not_recognised,0.8974358974358975,0.875,0.8860759493670886,40.0
disposable_card,0.0,0.0,0.0,0.0
disposable_card_limits,0.9473684210526315,0.9,0.9230769230769231,40.0
edit_personal_details,1.0,1.0,1.0,40.0
exchange_charge,0.9743589743589743,0.95,0.9620253164556962,40.0
exchange_rate,0.9047619047619048,0.95,0.926829268292683,40.0
exchange_via_app,0.8444444444444444,0.95,0.8941176470588236,40.0
extra_charge_on_statement,0.9024390243902439,0.925,0.9135802469135802,40.0
failed_transfer,0.8947368421052632,0.85,0.8717948717948718,40.0
fiat_currency_support,0.96875,0.775,0.8611111111111112,40.0
get_disposable_virtual_card,0.9444444444444444,0.85,0.8947368421052632,40.0
get_physical_card,0.926829268292683,0.95,0.9382716049382716,40.0
get_spare_card,0.0,0.0,0.0,0.0
get_virtual_card,0.0,0.0,0.0,0.0
getting_spare_card,0.9512195121951219,0.975,0.9629629629629629,40.0
getting_virtual_card,0.8666666666666667,0.975,0.9176470588235294,40.0
lost_or_stolen_card,0.926829268292683,0.95,0.9382716049382716,40.0
lost_or_stolen_phone,0.95,0.95,0.95,40.0
order_physical_card,0.9230769230769231,0.9,0.9113924050632911,40.0
passcode_forgotten,0.975609756097561,1.0,0.9876543209876543,40.0
pending_card_payment,0.95,0.95,0.95,40.0
pending_cash_withdrawal,0.95,0.95,0.95,40.0
pending_top_up,0.8837209302325582,0.95,0.9156626506024096,40.0
pending_transfer,0.7446808510638298,0.875,0.8045977011494253,40.0
pin_blocked,0.972972972972973,0.9,0.935064935064935,40.0
police_report,0.0,0.0,0.0,0.0
receiving_money,1.0,0.925,0.961038961038961,40.0
