,precision,recall,f1-score,support
Refund_not_showing_up,0.0,0.0,0.0,40.0
activate_my_card,1.0,0.95,0.9743589743589743,40.0
age_limit,0.975609756097561,1.0,0.9876543209876543,40.0
apple_pay_or_google_pay,1.0,1.0,1.0,40.0
atm_support,1.0,1.0,1.0,40.0
automatic_top_up,0.972972972972973,0.9,0.935064935064935,40.0
balance_not_updated_after_bank_transfer,0.8235294117647058,0.7,0.7567567567567568,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.9722222222222222,0.875,0.9210526315789473,40.0
beneficiary_not_allowed,1.0,0.65,0.7878787878787878,40.0
cancel_transfer,0.975,0.975,0.975,40.0
card_about_to_expire,0.9512195121951219,0.975,0.9629629629629629,40.0
card_acceptance,0.9473684210526315,0.9,0.9230769230769231,40.0
card_arrival,0.8571428571428571,0.9,0.8780487804878049,40.0
card_delivery_estimate,0.9230769230769231,0.9,0.9113924050632911,40.0
card_linking,0.8837209302325582,0.95,0.9156626506024096,40.0
card_not_working,0.7954545454545454,0.875,0.8333333333333334,40.0
card_payment_fee_charged,0.7307692307692307,0.95,0.8260869565217391,40.0
card_payment_limits,0.0,0.0,0.0,0.0
card_payment_not_recognised,0.723404255319149,0.85,0.7816091954022989,40.0
card_payment_wrong_exchange_rate,0.9285714285714286,0.975,0.9512195121951219,40.0
card_swallowed,0.96875,0.775,0.8611111111111112,40.0
cash_withdrawal_charge,0.926829268292683,0.95,0.9382716049382716,40.0
cash_withdrawal_not_recognised,0.9047619047619048,0.95,0.926829268292683,40.0
change_pin,1.0,0.95,0.9743589743589743,40.0
compromised_card,0.9032258064516129,0.7,0.7887323943661971,40.0
contactless_not_working,1.0,0.875,0.9333333333333333,40.0
country_support,0.95,0.95,0.95,40.0
declined_card_payment,0.76,0.95,0.8444444444444444,40.0
declined_cash_withdrawal,0.851063829787234,1.0,0.9195402298850575,40.0
declined_exchange,0.0,0.0,0.0,0.0
declined_transfer,0.8484848484848485,0.7,0.7671232876712328,40.0
direct_card_payment_not_received,0.0,0.0,0.0,0.0
direct_debit_payment_not_recognised,0.8947368421052632,0.85,0.8717948717948718,40.0
disposable_card_limits,0.8809523809523809,0.925,0.9024390243902439,40.0
disposable_card_not_working,0.0,0.0,0.0,0.0
disputed_card_payment,0.0,0.0,0.0,0.0
edit_personal_details,1.0,0.975,0.9873417721518988,40.0
exchange_charge,0.9736842105263158,0.925,0.9487179487179487,40.0
exchange_rate,0.9090909090909091,1.0,0.9523809523809523,40.0
exchange_via_app,0.8297872340425532,0.975,0.896551724137931,40.0
extra_charge_on_statement,1.0,0.85,0.918918918918919,40.0
failed_transfer,0.7346938775510204,0.9,0.8089887640449438,40.0
fiat_currency_support,0.9666666666666667,0.725,0.8285714285714286,40.0
get_disposable_virtual_card,1.0,0.85,0.918918918918919,40.0
get_physical_card,0.975,0.975,0.975,40.0
getting_spare_card,1.0,0.95,0.9743589743589743,40.0
getting_virtual_card,0.9722222222222222,0.875,0.9210526315789473,40.0
lost_or_stolen_card,0.7090909090909091,0.975,0.8210526315789474,40.0
lost_or_stolen_phone,0.975,0.975,0.975,40.0
order_physical_card,0.9459459459459459,0.875,0.9090909090909091,40.0
passcode_forgotten,1.0,1.0,1.0,40.0
pending_card_payment,0.9473684210526315,0.9,0.9230769230769231,40.0
pending_cash_withdrawal,0.8636363636363636,0.95,0.9047619047619048,40.0
